"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.819964427E0;-1.172855124E-1;1.850329489E-1;-4.197437763E-1
1.824889531E0;-1.076981425E-1;2.042076737E-1;-4.218743145E-1
1.829814583E0;-1.013065651E-1;2.191213816E-1;-4.229395688E-1
1.834739687E0;-1.013065651E-1;2.287087590E-1;-4.186785221E-1
1.839664739E0;-1.066328809E-1;2.404266447E-1;-4.176132381E-1
1.844589791E0;-1.183507740E-1;2.457529455E-1;-4.144174755E-1
1.849515937E0;-1.290034056E-1;2.489487380E-1;-4.069606364E-1
1.854441041E0;-1.396560371E-1;2.489487380E-1;-3.995037675E-1
1.859366094E0;-1.460476369E-1;2.478834838E-1;-3.952427208E-1
1.864291198E0;-1.407213062E-1;2.446876913E-1;-3.845900893E-1
1.869216250E0;-1.300686747E-1;2.393613905E-1;-3.718069196E-1
