"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2.051437526E1;-1.375911331E1;3.291262054E1;-1.554966736E1
2.052437526E1;-1.506190872E1;3.462696075E1;-1.559463882E1
2.053437526E1;-1.381323624E1;3.572013855E1;-1.627901077E1
2.054437526E1;-1.757883072E1;3.299779510E1;-1.680511093E1
2.055437526E1;-1.590636444E1;3.382873535E1;-1.399525452E1
2.056437526E1;-1.593169403E1;3.494992828E1;-1.531156158E1
2.057437526E1;-1.593169403E1;3.494992828E1;-1.531156158E1
2.058437526E1;-1.401609802E1;3.434333801E1;-1.594675446E1
2.059437526E1;-1.401609802E1;3.434333801E1;-1.594675446E1
2.060437526E1;-1.528318024E1;3.437475967E1;-1.465761566E1
2.061437526E1;-1.528318024E1;3.437475967E1;-1.465761566E1
2.062437526E1;-1.399305725E1;3.322101212E1;-1.527080154E1
2.063437526E1;-1.403337860E1;3.490166473E1;-1.788561630E1
2.064437526E1;-1.199346924E1;3.390447617E1;-1.434754181E1
2.065437526E1;-1.263393402E1;3.391677856E1;-1.562404251E1
2.066437526E1;-1.199808502E1;3.390220642E1;-1.562825394E1
2.067437526E1;-1.073099518E1;3.387078857E1;-1.691738892E1
2.068437526E1;-1.262012482E1;3.278991699E1;-1.750951385E1
2.069437526E1;-1.007441711E1;3.273274994E1;-1.688600540E1
2.070437526E1;-1.072524261E1;3.330678558E1;-1.818030548E1
2.071437526E1;-1.127193451E1;3.325942612E1;-1.892553329E1
2.072437526E1;-9.988693237E0;3.323595428E1;-1.573217392E1
2.073437526E1;-6.808303833E0;3.259680939E1;-1.829685974E1
2.074437526E1;-8.167007446E0;3.311170578E1;-2.044313431E1
2.075437526E1;-6.215694427E0;3.082219505E1;-1.974422455E1
2.076437526E1;-4.930183411E0;2.966617966E1;-2.163811874E1
2.077437526E1;-5.050998688E0;3.072006989E1;-2.012976837E1
2.078437526E1;-3.810382843E0;3.237611389E1;-2.019158554E1
2.079437526E1;-3.156112671E0;3.123694038E1;-2.080055618E1
2.080437526E1;-1.857933044E0;2.952032661E1;-2.203629684E1
2.081437526E1;-5.931243896E-1;2.797464561E1;-2.344656754E1
2.082437526E1;1.990600586E0;2.623569679E1;-2.084859085E1
2.083437526E1;-3.670837402E0;3.049681091E1;-2.853675842E1
2.084437526E1;-5.249748230E-1;3.210799408E1;-2.925156403E1
2.085437526E1;-1.847869873E0;3.097761917E1;-3.112709427E1
2.086437526E1;-1.793746948E0;2.817010117E1;-3.039774704E1
2.087437526E1;-1.162509918E0;2.815325928E1;-3.168266678E1
2.088437526E1;1.172561646E-1;2.756124496E1;-3.231365585E1
2.089437526E1;1.958011627E0;2.486405945E1;-3.162516022E1
2.090437526E1;3.268863678E0;2.258684540E1;-3.220275116E1
2.091437526E1;2.633007050E0;2.260142136E1;-3.219853973E1
2.092437526E1;3.280357361E0;2.145884323E1;-3.472857666E1
2.093437526E1;6.516048431E0;1.857958603E1;-3.337993622E1
2.094437526E1;4.609626770E0;1.805704117E1;-3.591093445E1
2.095437526E1;6.573612213E0;1.520693207E1;-3.455386353E1
2.096437526E1;6.581672668E0;1.464406586E1;-3.517641449E1
2.097437526E1;5.964233398E0;1.353404236E1;-3.577696991E1
2.098437526E1;4.710948944E0;1.243859482E1;-3.637330627E1
