"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
6.353667710E-1;2.976053357E-1;-1.974353075E0;9.431303978E0
6.378604690E-1;2.832325101E-1;-1.986330509E0;9.433700562E0
6.403225520E-1;1.778313518E-1;-2.043822050E0;9.400163651E0
6.427846350E-1;1.083625555E-1;-2.110895395E0;9.335485458E0
6.452467190E-1;4.368466139E-2;-2.091731548E0;9.280388832E0
6.477088020E-1;-1.000440717E-1;-2.216296434E0;9.251643181E0
6.501708850E-1;-1.647219658E-1;-2.257019520E0;9.194151878E0
6.526330210E-1;-1.743039489E-1;-2.228273630E0;9.119892120E0
6.550950520E-1;-1.982586980E-1;-2.257019520E0;9.110310555E0
6.575571870E-1;-2.006541491E-1;-2.343256712E0;9.033655167E0
6.600192190E-1;-1.934677362E-1;-2.429493904E0;9.098333359E0
6.624813540E-1;-1.287897825E-1;-2.455844164E0;9.098333359E0
6.649434370E-1;-8.327573538E-2;-2.479799032E0;9.026468277E0
6.674161980E-1;-2.338874340E-2;-2.451053143E0;8.959395409E0
6.698782810E-1;4.368466139E-2;-2.496567488E0;8.990536690E0
6.723403640E-1;1.035715938E-1;-2.520522356E0;9.009699821E0
6.748024480E-1;1.203399301E-1;-2.518126726E0;8.930648804E0
6.772645830E-1;2.257409692E-1;-2.527708769E0;8.894717216E0
6.797266140E-1;3.143737912E-1;-2.532499552E0;8.794107437E0
6.821887500E-1;3.239555955E-1;-2.578013659E0;8.729429245E0
6.846507810E-1;3.431194425E-1;-2.616341352E0;8.712660789E0
6.871129160E-1;2.976053357E-1;-2.623527765E0;8.595282555E0
6.895750000E-1;2.329273820E-1;-2.625923157E0;8.590491295E0
6.920370830E-1;2.161591649E-1;-2.637900829E0;8.544977188E0
6.944991660E-1;1.802268624E-1;-2.681019306E0;8.602469444E0
6.969687500E-1;1.371083856E-1;-2.664251089E0;8.612051010E0
6.994308330E-1;1.634585261E-1;-2.690601349E0;8.683915138E0
7.018929160E-1;1.490857005E-1;-2.731324196E0;8.707870483E0
7.043550000E-1;1.083625555E-1;-2.738510847E0;8.810874939E0
7.068171350E-1;1.874133945E-1;-2.700182915E0;8.897111893E0
7.092791660E-1;2.784414887E-1;-2.707369566E0;9.036049843E0
7.117413020E-1;2.880234122E-1;-2.671437263E0;9.134264946E0
7.142033330E-1;3.383285403E-1;-2.673832655E0;9.242061615E0
7.166654690E-1;3.886335492E-1;-2.671437263E0;9.309135437E0
7.191275520E-1;4.197747111E-1;-2.707369566E0;9.357044220E0
7.215896350E-1;4.485204816E-1;-2.690601349E0;9.309135437E0
7.240517190E-1;4.676844478E-1;-2.709764957E0;9.328299522E0
7.265542190E-1;5.515261292E-1;-2.683414698E0;9.335485458E0
7.290163020E-1;5.874583125E-1;-2.704973936E0;9.364231110E0
7.314783850E-1;6.641134620E-1;-2.721742392E0;9.335485458E0
7.339404690E-1;7.024412751E-1;-2.716951609E0;9.395372391E0
7.364025520E-1;7.335824370E-1;-2.767256498E0;9.445676804E0
7.388646350E-1;7.695146203E-1;-2.784024715E0;9.455259323E0
7.413267710E-1;8.437744975E-1;-2.772047520E0;9.515146255E0
7.437888020E-1;8.413789868E-1;-2.824748039E0;9.598988533E0
7.462509370E-1;8.725202680E-1;-2.817561388E0;9.687620163E0
7.487130210E-1;8.677292466E-1;-2.805584192E0;9.754693985E0
7.511751040E-1;8.677292466E-1;-2.829539061E0;9.845722198E0
7.536371870E-1;8.317970634E-1;-2.812770605E0;9.872072220E0
7.560745310E-1;7.192094922E-1;-2.803188801E0;9.919981956E0
7.585366140E-1;5.994356275E-1;-2.851098299E0;9.991846085E0
7.609986980E-1;5.036165118E-1;-2.817561388E0;9.989451408E0
7.634607810E-1;3.934245706E-1;-2.728928804E0;9.999032974E0
7.659229160E-1;3.119782805E-1;-2.752883434E0;1.001580143E1
7.683850000E-1;2.544867396E-1;-2.721742392E0;9.989451408E0
7.708470830E-1;1.682495475E-1;-2.597177505E0;9.903213501E0
7.733091140E-1;2.065771222E-1;-2.515731335E0;9.852908134E0
7.757712500E-1;2.712551951E-1;-2.467821836E0;9.804999352E0
7.782333330E-1;3.670743108E-1;-2.367211580E0;9.716365814E0
7.806954160E-1;4.437294602E-1;-2.292951822E0;9.625338554E0
7.831575000E-1;5.922492146E-1;-2.204319000E0;9.505564690E0
7.856257290E-1;6.808819175E-1;-2.091731548E0;9.467236519E0
7.880878120E-1;7.958648801E-1;-2.070172310E0;9.409745216E0
7.905498960E-1;8.916839957E-1;-1.955189228E0;9.323508263E0
7.930120310E-1;9.324070811E-1;-1.892906666E0;9.270807266E0
7.954741140E-1;9.659438729E-1;-1.842601776E0;9.220501900E0
7.979361980E-1;1.009062529E0;-1.804274082E0;9.184570312E0
8.003982810E-1;1.049785614E0;-1.785110235E0;9.151033401E0
8.028603120E-1;1.016248941E0;-1.710850477E0;9.167801857E0
8.053224480E-1;1.018644333E0;-1.674918294E0;9.129474640E0
8.077845310E-1;1.030621767E0;-1.627008796E0;9.086355209E0
8.102466140E-1;1.083322287E0;-1.658149958E0;9.081563950E0
8.127086980E-1;1.088113308E0;-1.617426753E0;9.155824661E0
8.152118230E-1;1.090508699E0;-1.624613285E0;9.210920334E0
8.176738540E-1;1.064158440E0;-1.571912766E0;9.287575722E0
8.201359890E-1;1.056972027E0;-1.591076493E0;9.347462654E0
8.225980730E-1;1.059367418E0;-1.619822264E0;9.354649544E0
8.250601560E-1;1.044994593E0;-1.579099059E0;9.445676804E0
8.275222390E-1;1.056972027E0;-1.557539821E0;9.450468063E0
8.299843750E-1;1.035412788E0;-1.559935331E0;9.495982170E0
8.324464060E-1;1.092904329E0;-1.545562506E0;9.596591949E0
8.349085410E-1;1.088113308E0;-1.547957897E0;9.543891907E0
8.373706250E-1;1.078531504E0;-1.545562506E0;9.613361359E0
8.398327080E-1;1.107277155E0;-1.514421225E0;9.639711380E0
